Season Year,Week Number,Home Owner,Home Team,Home Score,Away Owner,Away Team,Away Score
2025,6,Dylan,Globo Gym,111.54,Jasper,Blue's Balls,141.36
2025,6,Phillip,Ho Chi Win City,142.12,Trace,Gl Hf (you’re gay),161.24
2025,6,Casey,AARPFL,130.04,Boaz,Aaron codger,153.36
2025,6,Mike,Jelqaida,137.14,Ryan,Bad team not good at football,120.89
2025,6,Dustin,Dusty’s Dingleberries,130.44,Tess,Tess Finesse,131.38
2025,7,Dylan,Globo Gym,178.46,Phillip,Ho Chi Win City,141.5
2025,7,Trace,Gl Hf (you’re gay),180.22,Ryan,Bad team not good at football,131.9
2025,7,Casey,AARPFL,136.08,Jasper,Blue's Balls,149.94
2025,7,Mike,Jelqaida,122.64,Tess,Tess Finesse,183.18
2025,7,Boaz,Aaron codger,161.56,Dustin,Dusty’s Dingleberries,140.66
2025,8,Dylan,Globo Gym,149.48,Casey,AARPFL,96.78
2025,8,Phillip,Ho Chi Win City,154.68,Mike,Jelqaida,147.15
2025,8,Trace,Gl Hf (you’re gay),160.58,Dustin,Dusty’s Dingleberries,159.2
2025,8,Ryan,Bad team not good at football,118.28,Tess,Tess Finesse,150.45
2025,8,Boaz,Aaron codger,162.3,Jasper,Blue's Balls,124.52
2025,9,Dylan,Globo Gym,141.31,Mike,Jelqaida,140.42
2025,9,Phillip,Ho Chi Win City,186.72,Boaz,Aaron codger,140.54
2025,9,Trace,Gl Hf (you’re gay),137.4,Casey,AARPFL,173.82
2025,9,Ryan,Bad team not good at football,90.62,Dustin,Dusty’s Dingleberries,176.96
2025,9,Tess,Tess Finesse,94.56,Jasper,Blue's Balls,114.74
2025,10,Dylan,Globo Gym,130.6,Dustin,Dusty’s Dingleberries,140.72
2025,10,Phillip,Ho Chi Win City,119.5,Tess,Tess Finesse,186.88
2025,10,Trace,Gl Hf (you’re gay),198.24,Jasper,Blue's Balls,124.92
2025,10,Casey,AARPFL,138.0,Ryan,Bad team not good at football,135.53
2025,10,Mike,Jelqaida,119.77,Boaz,Aaron codger,133.54
2025,11,Dylan,Globo Gym,154.64,Trace,Gl Hf (you’re gay),120.62
2025,11,Phillip,Ho Chi Win City,112.64,Ryan,Bad team not good at football,117.62
2025,11,Casey,AARPFL,156.3,Dustin,Dusty’s Dingleberries,123.0
2025,11,Mike,Jelqaida,105.66,Jasper,Blue's Balls,95.34
2025,11,Boaz,Aaron codger,110.78,Tess,Tess Finesse,182.4
2025,12,Dylan,Globo Gym,156.26,Ryan,Bad team not good at football,127.1
2025,12,Phillip,Ho Chi Win City,194.82,Jasper,Blue's Balls,105.58
2025,12,Trace,Gl Hf (you’re gay),98.36,Boaz,Aaron codger,143.94
2025,12,Casey,AARPFL,111.3,Tess,Tess Finesse,173.74
2025,12,Mike,Jelqaida,136.45,Dustin,Dusty’s Dingleberries,134.14
2025,13,Dylan,Globo Gym,130.04,Boaz,Aaron codger,115.32
2025,13,Phillip,Ho Chi Win City,128.6,Dustin,Dusty’s Dingleberries,121.74
2025,13,Trace,Gl Hf (you’re gay),159.72,Tess,Tess Finesse,187.74
2025,13,Casey,AARPFL,76.72,Mike,Jelqaida,144.1
2025,13,Ryan,Bad team not good at football,118.22,Jasper,Blue's Balls,127.3
2025,14,Dylan,Globo Gym,158.57,Tess,Tess Finesse,129.72
2025,14,Phillip,Ho Chi Win City,134.22,Casey,AARPFL,132.89
2025,14,Trace,Gl Hf (you’re gay),112.08,Mike,Jelqaida,123.63
2025,14,Ryan,Bad team not good at football,137.46,Boaz,Aaron codger,102.67
